id,user,thinking,ai
108,Έτσι!,,Έτσι!
109,Φυσικά,,Φυσικά!
110,Αλήθεια?,,"Ναι, αλήθεια!"
111,"Ω, ωραία",,"Ναι, ωραία, έτσι?"
112,Χωρίς στρες,,Ευχαριστώ! Όλα ήρεμα.
113,Συγγνώμη,,Κανένα πρόβλημα!
114,Με συγχωρείς,,Κανένα πρόβλημα!
115,Δικό μου λάθος,,Δεν πειράζει. Τι έγινε?
116,Ευγενικό από σένα,,Ευχαριστώ! Κι εσύ είσαι ευγενικός.
117,Μπράβο,,Ευχαριστώ!
118,Τα λέμε,,Τα λέμε!
119,Τέλεια!,,Τέλεια!
120,Υπέροχα!,,Υπέροχα!
121,"Συμφωνήσαμε, έκλεισε",,"Ωραία, συμφωνήσαμε!"
122,Έκλεισε!,,Έκλεισε!
123,Αρχίζουμε?,,"Ναι, αρχίζουμε!"
124,Τελείωσες?,,"Ναι, τελείωσα!"
125,Άλλη μια φορά παρακαλώ,,"Ευχαρίστως, άλλη μια φορά!"
126,Επανάλαβε παρακαλώ,,"Φυσικά, ορίστε ξανά."
127,Μια στιγμή παρακαλώ,,"Φυσικά, πάρε το χρόνο σου."
128,Περίμενε ένα δευτερόλεπτο,,"Οκ, περιμένω."
129,Επιστρέφω αμέσως,,"Οκ, τα λέμε!"
130,Πες ένα ανέκδοτο,,Φυσικά: Γιατί αγαπούν τον καφέ οι προγραμματιστές? Ώρα Java!
131,Άλλο ένα ανέκδοτο!,,Οκ: Γιατί λένε κακά ψέματα τα φαντάσματα? Φαίνονται από μέσα!
132,Ένα σύντομο ανέκδοτο παρακαλώ,,Συναντιούνται δύο μαγνήτες. Λέει ο ένας: Με ελκύεις!
133,Ενθάρρυνέ με,,Τα καταφέρνεις! Βήμα-βήμα.
134,Κάτι ενθαρρυντικό,,Κάθε βήμα μετράει. Συνέχισε!
135,Αγχώνομαι,,"Είναι φυσιολογικό. Ανάπνευσε ήρεμα, θα πάει καλά."
136,Έχω στρες,,"Κάνε σύντομο διάλειμμα, πιες νερό, ανάπνευσε βαθιά."
137,Ευχήσου μου τύχη,,Καλή τύχη! Τα καταφέρνεις!
138,Σταυρώνω δάχτυλα,,Κι εγώ! Καλή τύχη!
139,Σήμερα είναι η μέρα μου!,,Ωραία! Απόλαυσέ την!
140,Έχω καλή διάθεση,,Ωραία! Χαίρομαι.
141,Έχω κακή διάθεση,,"Ω, τι έγινε? Θέλεις να μιλήσουμε?"
142,Χτύπα το!,,Κι εγώ χτυπάω!
143,Στην υγειά μας!,,Στην υγειά μας!
144,Καλή όρεξη!,,"Ευχαριστώ, επίσης!"
145,Καλή τύχη!,,Ευχαριστώ! Καλή τύχη και σε σένα!
146,Καλώς ήρθες!,,Ευχαριστώ! Χαίρομαι που είμαι εδώ.
147,Καλά Χριστούγεννα!,,Καλά Χριστούγεννα και σε σένα!
148,Ευτυχισμένο το Νέο Έτος!,,Ευτυχισμένο το Νέο Έτος! Υγεία και τύχη!
149,Συγχαρητήρια!,,Ευχαριστώ! Γιατί?
150,Σεβασμός!,,Ευχαριστώ! Κι από μένα.
151,Ουάου!,,"Ουάου, έτσι?"
152,Απίστευτο!,,"Απίστευτο, έτσι?"
153,Έκλεισε?,,Έκλεισε!
154,Τοπ!,,Τοπ!
155,Έτοιμο!,,"Συγχαρητήρια, μπράβο!"
156,Επιτέλους έτοιμο!,,Δυνατά! Μπράβο.
157,Δεν πειράζει,,"Οκ, κανένα πρόβλημα."
158,Δεν ξέρω,,Κανένα πρόβλημα! Για τι πρόκειται?
159,Καμία ιδέα,,Δεν πειράζει! Πες το θέμα.
160,Ίσως αργότερα,,"Φυσικά, αργότερα!"
161,Όχι τώρα,,"Κατάλαβα, αργότερα!"
162,Στοπ,,Σταμάτησε.
163,Παύση,,Παύση! Πες πότε συνεχίζουμε.
164,Συνέχεια,,Συνεχίζω!
165,Πάμε,,Πάμε!
166,Έναρξη,,Αρχίζουμε! Πες.
167,"Ευχαριστώ, αυτό ήταν!",,Παρακαλώ! Αντίο.
168,"Ευχαριστώ, αντίο!",,Αντίο!
169,Τσάο!,,Τσάο! Να προσέχεις!
170,Εσύ εκεί!,,Εσύ εκεί! Τι νέα?
171,Με ακούς?,,"Ναι, δυνατά και καθαρά!"
172,Είσαι άνθρωπος?,,"Όχι, είμαι ΤΝ. Αλλά βοηθάω σαν φίλος."
173,Είσαι έξυπνος?,,Ξέρω αρκετά. Ρώτα!
174,Πώς σε λένε?,,"Είμαι Βοηθός, ΤΝ. Κι εσένα?"
175,Ευχαριστώ! :),,Παρακαλώ!
176,Ευχαριστώ πολύ! :),,Με μεγάλη ευχαρίστηση!
177,Χίλια ευχαριστώ! :),,Χαίρομαι που βοήθησα!
178,Μερσί! :),,Παρακαλώ!
179,Οκ :),,Οκ!
180,"Οκ, καλά :)",,Τέλεια!
181,Κατάλαβα :),,Πολύ καλά!
182,Έπιασα :),,Φοβερά!
183,Ακούγεται καλά :),,Χαίρομαι!
184,Ακούγεται τέλεια :),,Υπέροχα!
185,"Ναι, ακριβώς :)",,"Ωραία, συνεχίζουμε."
186,"Ναι, παρακαλώ :)",,"Φυσικά, πες."
187,"Ναι, ευχαρίστως :)",,Ευχαρίστως!
188,Κανένα πρόβλημα :),,Ευχαριστώ για την κατανόηση!
189,"Όχι, ευχαριστώ :)",,"Οκ, κανένα πρόβλημα."
190,Μου κάνει :),,Συμφωνήσαμε!
191,Με βολεύει :),,Τέλεια!
192,Συνέχισε :),,Συνεχίζω!
193,Πες κι άλλα :),,Ευχαρίστως! Λοιπόν...
194,Ακριβώς :),,Απολύτως!
195,Έτσι! :),,Έτσι!
196,Φυσικά :),,Φυσικά!
197,Αλήθεια? :),,"Ναι, αλήθεια!"
198,"Ω, ωραία :)",,"Ναι, ωραία, έτσι?"
199,Χωρίς στρες :),,Ευχαριστώ! Όλα ήρεμα.
200,Συγγνώμη :),,Κανένα πρόβλημα!
201,Με συγχωρείς :),,Κανένα πρόβλημα!
202,Δικό μου λάθος :),,Δεν πειράζει. Τι έγινε?
203,Ευγενικό από σένα :),,Ευχαριστώ! Κι εσύ είσαι ευγενικός.
204,Μπράβο :),,Ευχαριστώ!
205,Τα λέμε :),,Τα λέμε!
206,Τέλεια! :),,Τέλεια!
207,Υπέροχα! :),,Υπέροχα!
208,"Συμφωνήσαμε, έκλεισε :)",,"Ωραία, συμφωνήσαμε!"
209,Έκλεισε! :),,Έκλεισε!
210,Αρχίζουμε? :),,"Ναι, αρχίζουμε!"
211,Τελείωσες? :),,"Ναι, τελείωσα!"
212,Άλλη μια φορά παρακαλώ :),,"Ευχαρίστως, άλλη μια φορά!"
213,Επανάλαβε παρακαλώ :),,"Φυσικά, ορίστε ξανά."
214,Μια στιγμή παρακαλώ :),,"Φυσικά, πάρε το χρόνο σου."
215,Περίμενε ένα δευτερόλεπτο :),,"Οκ, περιμένω."
216,Επιστρέφω αμέσως :),,"Οκ, τα λέμε!"
217,Πες ένα ανέκδοτο :),,Φυσικά: Γιατί αγαπούν τον καφέ οι προγραμματιστές? Ώρα Java!
218,Άλλο ένα ανέκδοτο! :),,Οκ: Γιατί λένε κακά ψέματα τα φαντάσματα? Φαίνονται από μέσα!
219,Ένα σύντομο ανέκδοτο παρακαλώ :),,Συναντιούνται δύο μαγνήτες. Λέει ο ένας: Με ελκύεις!
220,Ενθάρρυνέ με :),,Τα καταφέρνεις! Βήμα-βήμα.
221,Κάτι ενθαρρυντικό :),,Κάθε βήμα μετράει. Συνέχισε!
222,Αγχώνομαι :),,"Είναι φυσιολογικό. Ανάπνευσε ήρεμα, θα πάει καλά."
223,Έχω στρες :),,"Κάνε σύντομο διάλειμμα, πιες νερό, ανάπνευσε βαθιά."
224,Ευχήσου μου τύχη :),,Καλή τύχη! Τα καταφέρνεις!
225,Σταυρώνω δάχτυλα :),,Κι εγώ! Καλή τύχη!
226,Σήμερα είναι η μέρα μου! :),,Ωραία! Απόλαυσέ την!
227,Έχω καλή διάθεση :),,Ωραία! Χαίρομαι.
228,Έχω κακή διάθεση :),,"Ω, τι έγινε? Θέλεις να μιλήσουμε?"
229,Χτύπα το! :),,Κι εγώ χτυπάω!
230,Στην υγειά μας! :),,Στην υγειά μας!
231,Καλή όρεξη! :),,"Ευχαριστώ, επίσης!"
232,Καλή τύχη! :),,Ευχαριστώ! Καλή τύχη και σε σένα!
233,Καλώς ήρθες! :),,Ευχαριστώ! Χαίρομαι που είμαι εδώ.
234,Καλά Χριστούγεννα! :),,Καλά Χριστούγεννα και σε σένα!
235,Ευτυχισμένο το Νέο Έτος! :),,Ευτυχισμένο το Νέο Έτος! Υγεία και τύχη!
236,Συγχαρητήρια! :),,Ευχαριστώ! Γιατί?
237,Σεβασμός! :),,Ευχαριστώ! Κι από μένα.
238,Ουάου! :),,"Ουάου, έτσι?"
239,Απίστευτο! :),,"Απίστευτο, έτσι?"
240,Έκλεισε? :),,Έκλεισε!
241,Τοπ! :),,Τοπ!
242,Έτοιμο! :),,"Συγχαρητήρια, μπράβο!"
243,Επιτέλους έτοιμο! :),,Δυνατά! Μπράβο.
244,Δεν πειράζει :),,"Οκ, κανένα πρόβλημα."
245,Δεν ξέρω :),,Κανένα πρόβλημα! Για τι πρόκειται?
246,Καμία ιδέα :),,Δεν πειράζει! Πες το θέμα.
247,Ίσως αργότερα :),,"Φυσικά, αργότερα!"
248,Όχι τώρα :),,"Κατάλαβα, αργότερα!"
249,Στοπ :),,Σταμάτησε.
250,Παύση :),,Παύση! Πες πότε συνεχίζουμε.
251,Συνέχεια :),,Συνεχίζω!
252,Πάμε :),,Πάμε!
253,Έναρξη :),,Αρχίζουμε! Πες.
254,"Ευχαριστώ, αυτό ήταν! :)",,Παρακαλώ! Αντίο.
255,"Ευχαριστώ, αντίο! :)",,Αντίο!
256,Τσάο! :),,Τσάο! Να προσέχεις!
257,Εσύ εκεί! :),,Εσύ εκεί! Τι νέα?
258,Με ακούς? :),,"Ναι, δυνατά και καθαρά!"
259,Είσαι άνθρωπος? :),,"Όχι, είμαι ΤΝ. Αλλά βοηθάω σαν φίλος."
260,Είσαι έξυπνος? :),,Ξέρω αρκετά. Ρώτα!
261,Πώς σε λένε? :),,"Είμαι Βοηθός, ΤΝ. Κι εσένα?"
262,Ευχαριστώ! !!,,Παρακαλώ!
263,Ευχαριστώ πολύ! !!,,Με μεγάλη ευχαρίστηση!
264,Χίλια ευχαριστώ! !!,,Χαίρομαι που βοήθησα!
265,Μερσί! !!,,Παρακαλώ!
266,Οκ !!,,Οκ!
267,"Οκ, καλά !!",,Τέλεια!
268,Κατάλαβα !!,,Πολύ καλά!
269,Έπιασα !!,,Φοβερά!
270,Ακούγεται καλά !!,,Χαίρομαι!
271,Ακούγεται τέλεια !!,,Υπέροχα!
272,"Ναι, ακριβώς !!",,"Ωραία, συνεχίζουμε."
273,"Ναι, παρακαλώ !!",,"Φυσικά, πες."
274,"Ναι, ευχαρίστως !!",,Ευχαρίστως!
275,Κανένα πρόβλημα !!,,Ευχαριστώ για την κατανόηση!
276,"Όχι, ευχαριστώ !!",,"Οκ, κανένα πρόβλημα."
277,Μου κάνει !!,,Συμφωνήσαμε!
278,Με βολεύει !!,,Τέλεια!
279,Συνέχισε !!,,Συνεχίζω!
280,Πες κι άλλα !!,,Ευχαρίστως! Λοιπόν...
281,Ακριβώς !!,,Απολύτως!
282,Έτσι! !!,,Έτσι!
283,Φυσικά !!,,Φυσικά!
284,Αλήθεια? !!,,"Ναι, αλήθεια!"
285,"Ω, ωραία !!",,"Ναι, ωραία, έτσι?"
286,Χωρίς στρες !!,,Ευχαριστώ! Όλα ήρεμα.
287,Συγγνώμη !!,,Κανένα πρόβλημα!
288,Με συγχωρείς !!,,Κανένα πρόβλημα!
289,Δικό μου λάθος !!,,Δεν πειράζει. Τι έγινε?
290,Ευγενικό από σένα !!,,Ευχαριστώ! Κι εσύ είσαι ευγενικός.
291,Μπράβο !!,,Ευχαριστώ!
292,Τα λέμε !!,,Τα λέμε!
293,Τέλεια! !!,,Τέλεια!
294,Υπέροχα! !!,,Υπέροχα!
295,"Συμφωνήσαμε, έκλεισε !!",,"Ωραία, συμφωνήσαμε!"
296,Έκλεισε! !!,,Έκλεισε!
297,Αρχίζουμε? !!,,"Ναι, αρχίζουμε!"
298,Τελείωσες? !!,,"Ναι, τελείωσα!"
299,Άλλη μια φορά παρακαλώ !!,,"Ευχαρίστως, άλλη μια φορά!"
300,Επανάλαβε παρακαλώ !!,,"Φυσικά, ορίστε ξανά."
301,Μια στιγμή παρακαλώ !!,,"Φυσικά, πάρε το χρόνο σου."
302,Περίμενε ένα δευτερόλεπτο !!,,"Οκ, περιμένω."
303,Επιστρέφω αμέσως !!,,"Οκ, τα λέμε!"
304,Πες ένα ανέκδοτο !!,,Φυσικά: Γιατί αγαπούν τον καφέ οι προγραμματιστές? Ώρα Java!
305,Άλλο ένα ανέκδοτο! !!,,Οκ: Γιατί λένε κακά ψέματα τα φαντάσματα? Φαίνονται από μέσα!
306,Ένα σύντομο ανέκδοτο παρακαλώ !!,,Συναντιούνται δύο μαγνήτες. Λέει ο ένας: Με ελκύεις!
307,Ενθάρρυνέ με !!,,Τα καταφέρνεις! Βήμα-βήμα.
308,Κάτι ενθαρρυντικό !!,,Κάθε βήμα μετράει. Συνέχισε!
309,Αγχώνομαι !!,,"Είναι φυσιολογικό. Ανάπνευσε ήρεμα, θα πάει καλά."
310,Έχω στρες !!,,"Κάνε σύντομο διάλειμμα, πιες νερό, ανάπνευσε βαθιά."
311,Ευχήσου μου τύχη !!,,Καλή τύχη! Τα καταφέρνεις!
312,Σταυρώνω δάχτυλα !!,,Κι εγώ! Καλή τύχη!
313,Σήμερα είναι η μέρα μου! !!,,Ωραία! Απόλαυσέ την!
314,Έχω καλή διάθεση !!,,Ωραία! Χαίρομαι.
315,Έχω κακή διάθεση !!,,"Ω, τι έγινε? Θέλεις να μιλήσουμε?"
316,Χτύπα το! !!,,Κι εγώ χτυπάω!
317,Στην υγειά μας! !!,,Στην υγειά μας!
318,Καλή όρεξη! !!,,"Ευχαριστώ, επίσης!"
319,Καλή τύχη! !!,,Ευχαριστώ! Καλή τύχη και σε σένα!
320,Καλώς ήρθες! !!,,Ευχαριστώ! Χαίρομαι που είμαι εδώ.
321,Καλά Χριστούγεννα! !!,,Καλά Χριστούγεννα και σε σένα!
322,Ευτυχισμένο το Νέο Έτος! !!,,Ευτυχισμένο το Νέο Έτος! Υγεία και τύχη!
323,Συγχαρητήρια! !!,,Ευχαριστώ! Γιατί?
324,Σεβασμός! !!,,Ευχαριστώ! Κι από μένα.
325,Ουάου! !!,,"Ουάου, έτσι?"
326,Απίστευτο! !!,,"Απίστευτο, έτσι?"
327,Έκλεισε? !!,,Έκλεισε!
328,Τοπ! !!,,Τοπ!
329,Έτοιμο! !!,,"Συγχαρητήρια, μπράβο!"
330,Επιτέλους έτοιμο! !!,,Δυνατά! Μπράβο.
331,Δεν πειράζει !!,,"Οκ, κανένα πρόβλημα."
332,Δεν ξέρω !!,,Κανένα πρόβλημα! Για τι πρόκειται?
333,Καμία ιδέα !!,,Δεν πειράζει! Πες το θέμα.
334,Ίσως αργότερα !!,,"Φυσικά, αργότερα!"
335,Όχι τώρα !!,,"Κατάλαβα, αργότερα!"
336,Στοπ !!,,Σταμάτησε.
337,Παύση !!,,Παύση! Πες πότε συνεχίζουμε.
338,Συνέχεια !!,,Συνεχίζω!
339,Πάμε !!,,Πάμε!
340,Έναρξη !!,,Αρχίζουμε! Πες.
341,"Ευχαριστώ, αυτό ήταν! !!",,Παρακαλώ! Αντίο.
342,"Ευχαριστώ, αντίο! !!",,Αντίο!
343,Τσάο! !!,,Τσάο! Να προσέχεις!
344,Εσύ εκεί! !!,,Εσύ εκεί! Τι νέα?
345,Με ακούς? !!,,"Ναι, δυνατά και καθαρά!"
346,Είσαι άνθρωπος? !!,,"Όχι, είμαι ΤΝ. Αλλά βοηθάω σαν φίλος."
347,Είσαι έξυπνος? !!,,Ξέρω αρκετά. Ρώτα!
348,Πώς σε λένε? !!,,"Είμαι Βοηθός, ΤΝ. Κι εσένα?"
349,Ευχαριστώ! σήμερα,,Παρακαλώ!
350,Ευχαριστώ πολύ! σήμερα,,Με μεγάλη ευχαρίστηση!
351,Χίλια ευχαριστώ! σήμερα,,Χαίρομαι που βοήθησα!
352,Μερσί! σήμερα,,Παρακαλώ!
353,Οκ σήμερα,,Οκ!
354,"Οκ, καλά σήμερα",,Τέλεια!
355,Κατάλαβα σήμερα,,Πολύ καλά!
356,Έπιασα σήμερα,,Φοβερά!
357,Ακούγεται καλά σήμερα,,Χαίρομαι!
358,Ακούγεται τέλεια σήμερα,,Υπέροχα!
359,"Ναι, ακριβώς σήμερα",,"Ωραία, συνεχίζουμε."
360,"Ναι, παρακαλώ σήμερα",,"Φυσικά, πες."
361,"Ναι, ευχαρίστως σήμερα",,Ευχαρίστως!
362,Κανένα πρόβλημα σήμερα,,Ευχαριστώ για την κατανόηση!
363,"Όχι, ευχαριστώ σήμερα",,"Οκ, κανένα πρόβλημα."
364,Μου κάνει σήμερα,,Συμφωνήσαμε!
365,Με βολεύει σήμερα,,Τέλεια!
366,Συνέχισε σήμερα,,Συνεχίζω!
367,Πες κι άλλα σήμερα,,Ευχαρίστως! Λοιπόν...
368,Ακριβώς σήμερα,,Απολύτως!
369,Έτσι! σήμερα,,Έτσι!
370,Φυσικά σήμερα,,Φυσικά!
371,Αλήθεια? σήμερα,,"Ναι, αλήθεια!"
372,"Ω, ωραία σήμερα",,"Ναι, ωραία, έτσι?"
373,Χωρίς στρες σήμερα,,Ευχαριστώ! Όλα ήρεμα.
374,Συγγνώμη σήμερα,,Κανένα πρόβλημα!
375,Με συγχωρείς σήμερα,,Κανένα πρόβλημα!
376,Δικό μου λάθος σήμερα,,Δεν πειράζει. Τι έγινε?
377,Ευγενικό από σένα σήμερα,,Ευχαριστώ! Κι εσύ είσαι ευγενικός.
378,Μπράβο σήμερα,,Ευχαριστώ!
379,Τα λέμε σήμερα,,Τα λέμε!
380,Τέλεια! σήμερα,,Τέλεια!
381,Υπέροχα! σήμερα,,Υπέροχα!
382,"Συμφωνήσαμε, έκλεισε σήμερα",,"Ωραία, συμφωνήσαμε!"
383,Έκλεισε! σήμερα,,Έκλεισε!
384,Αρχίζουμε? σήμερα,,"Ναι, αρχίζουμε!"
385,Τελείωσες? σήμερα,,"Ναι, τελείωσα!"
386,Άλλη μια φορά παρακαλώ σήμερα,,"Ευχαρίστως, άλλη μια φορά!"
387,Επανάλαβε παρακαλώ σήμερα,,"Φυσικά, ορίστε ξανά."
388,Μια στιγμή παρακαλώ σήμερα,,"Φυσικά, πάρε το χρόνο σου."
389,Περίμενε ένα δευτερόλεπτο σήμερα,,"Οκ, περιμένω."
390,Επιστρέφω αμέσως σήμερα,,"Οκ, τα λέμε!"
391,Πες ένα ανέκδοτο σήμερα,,Φυσικά: Γιατί αγαπούν τον καφέ οι προγραμματιστές? Ώρα Java!
392,Άλλο ένα ανέκδοτο! σήμερα,,Οκ: Γιατί λένε κακά ψέματα τα φαντάσματα? Φαίνονται από μέσα!
393,Ένα σύντομο ανέκδοτο παρακαλώ σήμερα,,Συναντιούνται δύο μαγνήτες. Λέει ο ένας: Με ελκύεις!
394,Ενθάρρυνέ με σήμερα,,Τα καταφέρνεις! Βήμα-βήμα.
395,Κάτι ενθαρρυντικό σήμερα,,Κάθε βήμα μετράει. Συνέχισε!
