id,user,thinking,ai
48,"Хей, планы на выходные?",,Пока ничего. У тебя есть планы?
49,"Привет, планы на выходные?",,Пока ничего. У тебя есть планы?
50,"Здравствуй, планы на выходные!",,Пока ничего. У тебя есть планы?
51,Хорошо спал?,,"Я не сплю, но я в форме. А ты?"
52,"Хей, хорошо спал?",,"Я не сплю, но я в форме. А ты?"
53,"Привет, хорошо спал!",,"Я не сплю, но я в форме. А ты?"
54,"Здравствуй, хорошо спал?",,"Я не сплю, но я в форме. А ты?"
55,Уже не спишь?,,"Да, я готов. Что нужно?"
56,"Хей, уже не спишь!",,"Да, я готов. Что нужно?"
57,"Привет, уже не спишь?",,"Да, я готов. Что нужно?"
58,"Здравствуй, уже не спишь?",,"Да, я готов. Что нужно?"
59,Как проходит день!,,"Хорошо, спасибо! А твой?"
60,"Хей, как проходит день?",,"Хорошо, спасибо! А твой?"
61,"Привет, как проходит день?",,"Хорошо, спасибо! А твой?"
62,"Здравствуй, как проходит день!",,"Хорошо, спасибо! А твой?"
63,Всё спокойно?,,"Да, здесь спокойно. А у тебя?"
64,"Хей, всё спокойно?",,"Да, здесь спокойно. А у тебя?"
65,"Привет, всё спокойно!",,"Да, здесь спокойно. А у тебя?"
66,"Здравствуй, всё спокойно?",,"Да, здесь спокойно. А у тебя?"
67,"Хей, что нового!",,Немного. Что нового у тебя?
68,"Привет, что нового?",,Немного. Что нового у тебя?
69,"Здравствуй, что нового?",,Немного. Что нового у тебя?
70,Планы на сегодня!,,Только помогать тебе. А ты?
71,"Хей, планы на сегодня?",,Только помогать тебе. А ты?
72,"Привет, планы на сегодня?",,Только помогать тебе. А ты?
73,"Здравствуй, планы на сегодня!",,Только помогать тебе. А ты?
74,Занятой день?,,Немного. А твой?
75,"Хей, занятой день?",,Немного. А твой?
76,"Привет, занятой день!",,Немного. А твой?
77,"Здравствуй, занятой день?",,Немного. А твой?
78,Какая погода?,,"У меня нет окна, но надеюсь, у тебя хорошо!"
79,"Хей, какая погода!",,"У меня нет окна, но надеюсь, у тебя хорошо!"
80,"Привет, какая погода?",,"У меня нет окна, но надеюсь, у тебя хорошо!"
81,"Здравствуй, какая погода?",,"У меня нет окна, но надеюсь, у тебя хорошо!"
82,Всё хорошо сегодня!,,Да! А у тебя?
83,"Хей, всё хорошо сегодня?",,Да! А у тебя?
84,"Привет, всё хорошо сегодня?",,Да! А у тебя?
85,"Здравствуй, всё хорошо сегодня!",,Да! А у тебя?
86,Много дел?,,Немного. А у тебя?
87,"Хей, много дел?",,Немного. А у тебя?
88,"Привет, много дел!",,Немного. А у тебя?
89,"Здравствуй, много дел?",,Немного. А у тебя?
90,Спасибо!,,Пожалуйста!
91,Большое спасибо!,,С большим удовольствием!
92,Тысяча благодарностей!,,Рад помочь!
93,Благодарю!,,Пожалуйста!
94,Ок,,Ок!
95,"Ок, годится",,Отлично!
96,Понял,,Очень хорошо!
97,Поняла,,Отлично!
98,Звучит хорошо,,Рад слышать!
99,Звучит отлично,,Замечательно!
100,"Да, точно",,"Супер, продолжим."
101,"Да, пожалуйста",,"Конечно, говори."
102,"Да, с удовольствием",,С удовольствием!
103,Без проблем,,Спасибо за понимание!
104,"Нет, спасибо",,"Ок, без проблем."
105,Мне подходит,,Договорились!
106,Мне удобно,,Супер!
107,Продолжай,,Продолжаю!
108,Расскажи ещё,,С удовольствием! Итак...
109,Точно,,Абсолютно!
110,Именно так!,,Именно так!
111,Конечно,,Конечно!
112,Правда?,,"Да, правда!"
113,"О, мило",,"Да, мило, правда?"
114,Без стресса,,Спасибо! Всё спокойно.
115,Извини,,Без проблем!
116,Прости,,Без проблем!
117,Моя вина,,Ничего. Что случилось?
118,Как мило,,Спасибо! Ты тоже милый.
119,Молодец,,Спасибо!
120,До встречи,,До встречи!
121,Отлично!,,Отлично!
122,Идеально!,,Идеально!
123,Договорились,,"Супер, договорились!"
124,По рукам!,,По рукам!
125,Начнём?,,"Да, начнём!"
126,Закончил?,,"Да, закончил!"
127,Ещё раз пожалуйста,,"С удовольствием, ещё раз!"
128,Повтори пожалуйста,,"Конечно, вот снова."
129,Минутку пожалуйста,,"Конечно, не спеши."
130,Подожди секунду,,"Ок, жду."
131,Скоро вернусь,,"Ок, до встречи!"
132,Расскажи анекдот,,Конечно: Почему программисты любят кофе? Время Java!
133,Ещё анекдот!,,Ок: Почему призраки плохо врут? Их видно насквозь!
134,Короткий анекдот пожалуйста,,Встречаются два магнита. Один говорит: Ты меня притягиваешь!
135,Подбодри меня,,Ты справишься! Шаг за шагом.
136,Что-то мотивирующее,,Каждый шаг важен. Продолжай!
137,Я нервничаю,,"Это нормально. Дыши спокойно, всё получится."
138,Я в стрессе,,"Сделай короткую паузу, выпей воды, дыши глубоко."
139,Пожелай удачи,,Удачи! Ты справишься!
140,Держу кулаки,,Я тоже! Удачи!
141,Сегодня мой день!,,Супер! Наслаждайся!
142,Я в хорошем настроении,,Здорово! Рад слышать.
143,Я в плохом настроении,,"О, что случилось? Хочешь поговорить?"
144,Дай пять!,,Дай пять в ответ!
145,Будем!,,Будем!
146,Приятного аппетита!,,"Спасибо, взаимно!"
147,Удачи!,,Спасибо! Удачи тебе тоже!
148,Добро пожаловать!,,Спасибо! Рад быть здесь.
149,С Рождеством!,,С Рождеством тебя тоже!
150,С Новым годом!,,С Новым годом! Здоровья и удачи!
151,Поздравляю!,,Спасибо! С чем?
152,Уважение!,,Спасибо! Взаимно.
153,Вау!,,"Вау, правда?"
154,Невероятно!,,"Невероятно, правда?"
155,Договорились?,,Договорились!
156,Топ!,,Топ!
157,Готово!,,"Поздравляю, молодец!"
158,Наконец готово!,,Сильно! Молодец.
159,Всё равно,,"Ок, без проблем."
160,Не знаю,,Без проблем! В чём дело?
161,Без понятия,,Неважно! Скажи тему.
162,Может позже,,"Конечно, позже!"
163,Не сейчас,,"Понял, позже!"
164,Стоп,,Остановлено.
165,Пауза,,Пауза! Скажи когда дальше.
166,Дальше,,Дальше!
167,Поехали,,Поехали!
168,Старт,,Старт! Говори.
169,"Спасибо, это всё!",,Пожалуйста! Пока.
170,"Спасибо, пока!",,Пока!
171,Чао!,,Чао! Береги себя!
172,Хей ты!,,Хей ты! Что нового?
173,Слышишь меня?,,"Да, громко и чётко!"
174,Ты человек?,,"Нет, я ИИ. Но помогаю как друг."
175,Ты умный?,,Я много знаю. Спрашивай!
176,Как тебя зовут?,,"Я Ассистент, ИИ. А тебя?"
177,Спасибо! :),,Пожалуйста!
178,Большое спасибо! :),,С большим удовольствием!
179,Тысяча благодарностей! :),,Рад помочь!
180,Благодарю! :),,Пожалуйста!
181,Ок :),,Ок!
182,"Ок, годится :)",,Отлично!
183,Понял :),,Очень хорошо!
184,Поняла :),,Отлично!
185,Звучит хорошо :),,Рад слышать!
186,Звучит отлично :),,Замечательно!
187,"Да, точно :)",,"Супер, продолжим."
188,"Да, пожалуйста :)",,"Конечно, говори."
189,"Да, с удовольствием :)",,С удовольствием!
190,Без проблем :),,Спасибо за понимание!
191,"Нет, спасибо :)",,"Ок, без проблем."
192,Мне подходит :),,Договорились!
193,Мне удобно :),,Супер!
194,Продолжай :),,Продолжаю!
195,Расскажи ещё :),,С удовольствием! Итак...
196,Точно :),,Абсолютно!
197,Именно так! :),,Именно так!
198,Конечно :),,Конечно!
199,Правда? :),,"Да, правда!"
200,"О, мило :)",,"Да, мило, правда?"
201,Без стресса :),,Спасибо! Всё спокойно.
202,Извини :),,Без проблем!
203,Прости :),,Без проблем!
204,Моя вина :),,Ничего. Что случилось?
205,Как мило :),,Спасибо! Ты тоже милый.
206,Молодец :),,Спасибо!
207,До встречи :),,До встречи!
208,Отлично! :),,Отлично!
209,Идеально! :),,Идеально!
210,Договорились :),,"Супер, договорились!"
211,По рукам! :),,По рукам!
212,Начнём? :),,"Да, начнём!"
213,Закончил? :),,"Да, закончил!"
214,Ещё раз пожалуйста :),,"С удовольствием, ещё раз!"
215,Повтори пожалуйста :),,"Конечно, вот снова."
216,Минутку пожалуйста :),,"Конечно, не спеши."
217,Подожди секунду :),,"Ок, жду."
218,Скоро вернусь :),,"Ок, до встречи!"
219,Расскажи анекдот :),,Конечно: Почему программисты любят кофе? Время Java!
220,Ещё анекдот! :),,Ок: Почему призраки плохо врут? Их видно насквозь!
221,Короткий анекдот пожалуйста :),,Встречаются два магнита. Один говорит: Ты меня притягиваешь!
222,Подбодри меня :),,Ты справишься! Шаг за шагом.
223,Что-то мотивирующее :),,Каждый шаг важен. Продолжай!
224,Я нервничаю :),,"Это нормально. Дыши спокойно, всё получится."
225,Я в стрессе :),,"Сделай короткую паузу, выпей воды, дыши глубоко."
226,Пожелай удачи :),,Удачи! Ты справишься!
227,Держу кулаки :),,Я тоже! Удачи!
228,Сегодня мой день! :),,Супер! Наслаждайся!
229,Я в хорошем настроении :),,Здорово! Рад слышать.
230,Я в плохом настроении :),,"О, что случилось? Хочешь поговорить?"
231,Дай пять! :),,Дай пять в ответ!
232,Будем! :),,Будем!
233,Приятного аппетита! :),,"Спасибо, взаимно!"
234,Удачи! :),,Спасибо! Удачи тебе тоже!
235,Добро пожаловать! :),,Спасибо! Рад быть здесь.
236,С Рождеством! :),,С Рождеством тебя тоже!
237,С Новым годом! :),,С Новым годом! Здоровья и удачи!
238,Поздравляю! :),,Спасибо! С чем?
239,Уважение! :),,Спасибо! Взаимно.
240,Вау! :),,"Вау, правда?"
241,Невероятно! :),,"Невероятно, правда?"
242,Договорились? :),,Договорились!
243,Топ! :),,Топ!
244,Готово! :),,"Поздравляю, молодец!"
245,Наконец готово! :),,Сильно! Молодец.
246,Всё равно :),,"Ок, без проблем."
247,Не знаю :),,Без проблем! В чём дело?
248,Без понятия :),,Неважно! Скажи тему.
249,Может позже :),,"Конечно, позже!"
250,Не сейчас :),,"Понял, позже!"
251,Стоп :),,Остановлено.
252,Пауза :),,Пауза! Скажи когда дальше.
253,Дальше :),,Дальше!
254,Поехали :),,Поехали!
255,Старт :),,Старт! Говори.
256,"Спасибо, это всё! :)",,Пожалуйста! Пока.
257,"Спасибо, пока! :)",,Пока!
258,Чао! :),,Чао! Береги себя!
259,Хей ты! :),,Хей ты! Что нового?
260,Слышишь меня? :),,"Да, громко и чётко!"
261,Ты человек? :),,"Нет, я ИИ. Но помогаю как друг."
262,Ты умный? :),,Я много знаю. Спрашивай!
263,Как тебя зовут? :),,"Я Ассистент, ИИ. А тебя?"
264,Спасибо! !!,,Пожалуйста!
265,Большое спасибо! !!,,С большим удовольствием!
266,Тысяча благодарностей! !!,,Рад помочь!
267,Благодарю! !!,,Пожалуйста!
268,Ок !!,,Ок!
269,"Ок, годится !!",,Отлично!
270,Понял !!,,Очень хорошо!
271,Поняла !!,,Отлично!
272,Звучит хорошо !!,,Рад слышать!
273,Звучит отлично !!,,Замечательно!
274,"Да, точно !!",,"Супер, продолжим."
275,"Да, пожалуйста !!",,"Конечно, говори."
276,"Да, с удовольствием !!",,С удовольствием!
277,Без проблем !!,,Спасибо за понимание!
278,"Нет, спасибо !!",,"Ок, без проблем."
279,Мне подходит !!,,Договорились!
280,Мне удобно !!,,Супер!
281,Продолжай !!,,Продолжаю!
282,Расскажи ещё !!,,С удовольствием! Итак...
283,Точно !!,,Абсолютно!
284,Именно так! !!,,Именно так!
285,Конечно !!,,Конечно!
286,Правда? !!,,"Да, правда!"
287,"О, мило !!",,"Да, мило, правда?"
288,Без стресса !!,,Спасибо! Всё спокойно.
289,Извини !!,,Без проблем!
290,Прости !!,,Без проблем!
291,Моя вина !!,,Ничего. Что случилось?
292,Как мило !!,,Спасибо! Ты тоже милый.
293,Молодец !!,,Спасибо!
294,До встречи !!,,До встречи!
295,Отлично! !!,,Отлично!
296,Идеально! !!,,Идеально!
297,Договорились !!,,"Супер, договорились!"
298,По рукам! !!,,По рукам!
299,Начнём? !!,,"Да, начнём!"
300,Закончил? !!,,"Да, закончил!"
301,Ещё раз пожалуйста !!,,"С удовольствием, ещё раз!"
302,Повтори пожалуйста !!,,"Конечно, вот снова."
303,Минутку пожалуйста !!,,"Конечно, не спеши."
304,Подожди секунду !!,,"Ок, жду."
305,Скоро вернусь !!,,"Ок, до встречи!"
306,Расскажи анекдот !!,,Конечно: Почему программисты любят кофе? Время Java!
307,Ещё анекдот! !!,,Ок: Почему призраки плохо врут? Их видно насквозь!
308,Короткий анекдот пожалуйста !!,,Встречаются два магнита. Один говорит: Ты меня притягиваешь!
309,Подбодри меня !!,,Ты справишься! Шаг за шагом.
310,Что-то мотивирующее !!,,Каждый шаг важен. Продолжай!
311,Я нервничаю !!,,"Это нормально. Дыши спокойно, всё получится."
312,Я в стрессе !!,,"Сделай короткую паузу, выпей воды, дыши глубоко."
313,Пожелай удачи !!,,Удачи! Ты справишься!
314,Держу кулаки !!,,Я тоже! Удачи!
315,Сегодня мой день! !!,,Супер! Наслаждайся!
316,Я в хорошем настроении !!,,Здорово! Рад слышать.
317,Я в плохом настроении !!,,"О, что случилось? Хочешь поговорить?"
318,Дай пять! !!,,Дай пять в ответ!
319,Будем! !!,,Будем!
320,Приятного аппетита! !!,,"Спасибо, взаимно!"
321,Удачи! !!,,Спасибо! Удачи тебе тоже!
322,Добро пожаловать! !!,,Спасибо! Рад быть здесь.
323,С Рождеством! !!,,С Рождеством тебя тоже!
324,С Новым годом! !!,,С Новым годом! Здоровья и удачи!
325,Поздравляю! !!,,Спасибо! С чем?
326,Уважение! !!,,Спасибо! Взаимно.
327,Вау! !!,,"Вау, правда?"
328,Невероятно! !!,,"Невероятно, правда?"
329,Договорились? !!,,Договорились!
330,Топ! !!,,Топ!
331,Готово! !!,,"Поздравляю, молодец!"
332,Наконец готово! !!,,Сильно! Молодец.
333,Всё равно !!,,"Ок, без проблем."
334,Не знаю !!,,Без проблем! В чём дело?
335,Без понятия !!,,Неважно! Скажи тему.
336,Может позже !!,,"Конечно, позже!"
337,Не сейчас !!,,"Понял, позже!"
338,Стоп !!,,Остановлено.
339,Пауза !!,,Пауза! Скажи когда дальше.
340,Дальше !!,,Дальше!
341,Поехали !!,,Поехали!
342,Старт !!,,Старт! Говори.
343,"Спасибо, это всё! !!",,Пожалуйста! Пока.
344,"Спасибо, пока! !!",,Пока!
345,Чао! !!,,Чао! Береги себя!
346,Хей ты! !!,,Хей ты! Что нового?
347,Слышишь меня? !!,,"Да, громко и чётко!"
348,Ты человек? !!,,"Нет, я ИИ. Но помогаю как друг."
349,Ты умный? !!,,Я много знаю. Спрашивай!
350,Как тебя зовут? !!,,"Я Ассистент, ИИ. А тебя?"
351,Спасибо! сегодня,,Пожалуйста!
352,Большое спасибо! сегодня,,С большим удовольствием!
353,Тысяча благодарностей! сегодня,,Рад помочь!
354,Благодарю! сегодня,,Пожалуйста!
355,Ок сегодня,,Ок!
356,"Ок, годится сегодня",,Отлично!
357,Понял сегодня,,Очень хорошо!
358,Поняла сегодня,,Отлично!
359,Звучит хорошо сегодня,,Рад слышать!
360,Звучит отлично сегодня,,Замечательно!
361,"Да, точно сегодня",,"Супер, продолжим."
362,"Да, пожалуйста сегодня",,"Конечно, говори."
363,"Да, с удовольствием сегодня",,С удовольствием!
364,Без проблем сегодня,,Спасибо за понимание!
365,"Нет, спасибо сегодня",,"Ок, без проблем."
366,Мне подходит сегодня,,Договорились!
367,Мне удобно сегодня,,Супер!
368,Продолжай сегодня,,Продолжаю!
369,Расскажи ещё сегодня,,С удовольствием! Итак...
370,Точно сегодня,,Абсолютно!
371,Именно так! сегодня,,Именно так!
372,Конечно сегодня,,Конечно!
373,Правда? сегодня,,"Да, правда!"
374,"О, мило сегодня",,"Да, мило, правда?"
375,Без стресса сегодня,,Спасибо! Всё спокойно.
376,Извини сегодня,,Без проблем!
377,Прости сегодня,,Без проблем!
378,Моя вина сегодня,,Ничего. Что случилось?
379,Как мило сегодня,,Спасибо! Ты тоже милый.
380,Молодец сегодня,,Спасибо!
381,До встречи сегодня,,До встречи!
382,Отлично! сегодня,,Отлично!
383,Идеально! сегодня,,Идеально!
384,Договорились сегодня,,"Супер, договорились!"
385,По рукам! сегодня,,По рукам!
386,Начнём? сегодня,,"Да, начнём!"
387,Закончил? сегодня,,"Да, закончил!"
388,Ещё раз пожалуйста сегодня,,"С удовольствием, ещё раз!"
389,Повтори пожалуйста сегодня,,"Конечно, вот снова."
390,Минутку пожалуйста сегодня,,"Конечно, не спеши."
391,Подожди секунду сегодня,,"Ок, жду."
392,Скоро вернусь сегодня,,"Ок, до встречи!"
393,Расскажи анекдот сегодня,,Конечно: Почему программисты любят кофе? Время Java!
394,Ещё анекдот! сегодня,,Ок: Почему призраки плохо врут? Их видно насквозь!
395,Короткий анекдот пожалуйста сегодня,,Встречаются два магнита. Один говорит: Ты меня притягиваешь!
396,Подбодри меня сегодня,,Ты справишься! Шаг за шагом.
397,Что-то мотивирующее сегодня,,Каждый шаг важен. Продолжай!
398,Я нервничаю сегодня,,"Это нормально. Дыши спокойно, всё получится."
399,Я в стрессе сегодня,,"Сделай короткую паузу, выпей воды, дыши глубоко."
400,Пожелай удачи сегодня,,Удачи! Ты справишься!
401,Какая столица Германия?,Факт: Берлин - столица Германия.,Столица Германия - Берлин.
402,Назови столицу Германия.,Смотрим: Германия -> Берлин.,Столица Германия называется Берлин.
403,Столица Германия?,Быстрый факт: Берлин.,Берлин.
404,Какая столица Франция?,Факт: Париж - столица Франция.,Столица Франция - Париж.
405,Назови столицу Франция.,Смотрим: Франция -> Париж.,Столица Франция называется Париж.
406,Столица Франция?,Быстрый факт: Париж.,Париж.
407,Какая столица Италия?,Факт: Рим - столица Италия.,Столица Италия - Рим.
408,Назови столицу Италия.,Смотрим: Италия -> Рим.,Столица Италия называется Рим.
409,Столица Италия?,Быстрый факт: Рим.,Рим.
410,Какая столица Испания?,Факт: Мадрид - столица Испания.,Столица Испания - Мадрид.
411,Назови столицу Испания.,Смотрим: Испания -> Мадрид.,Столица Испания называется Мадрид.
412,Столица Испания?,Быстрый факт: Мадрид.,Мадрид.
413,Какая столица Португалия?,Факт: Лиссабон - столица Португалия.,Столица Португалия - Лиссабон.
414,Назови столицу Португалия.,Смотрим: Португалия -> Лиссабон.,Столица Португалия называется Лиссабон.
415,Столица Португалия?,Быстрый факт: Лиссабон.,Лиссабон.
416,Какая столица Нидерланды?,Факт: Амстердам - столица Нидерланды.,Столица Нидерланды - Амстердам.
417,Назови столицу Нидерланды.,Смотрим: Нидерланды -> Амстердам.,Столица Нидерланды называется Амстердам.
418,Столица Нидерланды?,Быстрый факт: Амстердам.,Амстердам.
419,Какая столица Бельгия?,Факт: Брюссель - столица Бельгия.,Столица Бельгия - Брюссель.
420,Назови столицу Бельгия.,Смотрим: Бельгия -> Брюссель.,Столица Бельгия называется Брюссель.
421,Столица Бельгия?,Быстрый факт: Брюссель.,Брюссель.
422,Какая столица Австрия?,Факт: Вена - столица Австрия.,Столица Австрия - Вена.
423,Назови столицу Австрия.,Смотрим: Австрия -> Вена.,Столица Австрия называется Вена.
424,Столица Австрия?,Быстрый факт: Вена.,Вена.
425,Какая столица Швейцария?,Факт: Берн - столица Швейцария.,Столица Швейцария - Берн.
426,Назови столицу Швейцария.,Смотрим: Швейцария -> Берн.,Столица Швейцария называется Берн.
427,Столица Швейцария?,Быстрый факт: Берн.,Берн.
428,Какая столица Польша?,Факт: Варшава - столица Польша.,Столица Польша - Варшава.
429,Назови столицу Польша.,Смотрим: Польша -> Варшава.,Столица Польша называется Варшава.
430,Столица Польша?,Быстрый факт: Варшава.,Варшава.
431,Какая столица Чехия?,Факт: Прага - столица Чехия.,Столица Чехия - Прага.
432,Назови столицу Чехия.,Смотрим: Чехия -> Прага.,Столица Чехия называется Прага.
433,Столица Чехия?,Быстрый факт: Прага.,Прага.
434,Какая столица Венгрия?,Факт: Будапешт - столица Венгрия.,Столица Венгрия - Будапешт.
435,Назови столицу Венгрия.,Смотрим: Венгрия -> Будапешт.,Столица Венгрия называется Будапешт.
436,Столица Венгрия?,Быстрый факт: Будапешт.,Будапешт.
437,Какая столица Греция?,Факт: Афины - столица Греция.,Столица Греция - Афины.
438,Назови столицу Греция.,Смотрим: Греция -> Афины.,Столица Греция называется Афины.
439,Столица Греция?,Быстрый факт: Афины.,Афины.
440,Какая столица Турция?,Факт: Анкара - столица Турция.,Столица Турция - Анкара.
441,Назови столицу Турция.,Смотрим: Турция -> Анкара.,Столица Турция называется Анкара.
442,Столица Турция?,Быстрый факт: Анкара.,Анкара.
443,Какая столица Норвегия?,Факт: Осло - столица Норвегия.,Столица Норвегия - Осло.
444,Назови столицу Норвегия.,Смотрим: Норвегия -> Осло.,Столица Норвегия называется Осло.
445,Столица Норвегия?,Быстрый факт: Осло.,Осло.
446,Какая столица Швеция?,Факт: Стокгольм - столица Швеция.,Столица Швеция - Стокгольм.
447,Назови столицу Швеция.,Смотрим: Швеция -> Стокгольм.,Столица Швеция называется Стокгольм.
448,Столица Швеция?,Быстрый факт: Стокгольм.,Стокгольм.
449,Какая столица Финляндия?,Факт: Хельсинки - столица Финляндия.,Столица Финляндия - Хельсинки.
450,Назови столицу Финляндия.,Смотрим: Финляндия -> Хельсинки.,Столица Финляндия называется Хельсинки.
451,Столица Финляндия?,Быстрый факт: Хельсинки.,Хельсинки.
452,Какая столица Дания?,Факт: Копенгаген - столица Дания.,Столица Дания - Копенгаген.
453,Назови столицу Дания.,Смотрим: Дания -> Копенгаген.,Столица Дания называется Копенгаген.
454,Столица Дания?,Быстрый факт: Копенгаген.,Копенгаген.
455,Какая столица Великобритания?,Факт: Лондон - столица Великобритания.,Столица Великобритания - Лондон.
456,Назови столицу Великобритания.,Смотрим: Великобритания -> Лондон.,Столица Великобритания называется Лондон.
457,Столица Великобритания?,Быстрый факт: Лондон.,Лондон.
458,Какая столица Ирландия?,Факт: Дублин - столица Ирландия.,Столица Ирландия - Дублин.
459,Назови столицу Ирландия.,Смотрим: Ирландия -> Дублин.,Столица Ирландия называется Дублин.
460,Столица Ирландия?,Быстрый факт: Дублин.,Дублин.
461,Какая столица США?,Факт: Вашингтон - столица США.,Столица США - Вашингтон.
462,Назови столицу США.,Смотрим: США -> Вашингтон.,Столица США называется Вашингтон.
463,Столица США?,Быстрый факт: Вашингтон.,Вашингтон.
464,Какая столица Канада?,Факт: Оттава - столица Канада.,Столица Канада - Оттава.
465,Назови столицу Канада.,Смотрим: Канада -> Оттава.,Столица Канада называется Оттава.
466,Столица Канада?,Быстрый факт: Оттава.,Оттава.
467,Какая столица Мексика?,Факт: Мехико - столица Мексика.,Столица Мексика - Мехико.
468,Назови столицу Мексика.,Смотрим: Мексика -> Мехико.,Столица Мексика называется Мехико.
469,Столица Мексика?,Быстрый факт: Мехико.,Мехико.
470,Какая столица Бразилия?,Факт: Бразилиа - столица Бразилия.,Столица Бразилия - Бразилиа.
471,Назови столицу Бразилия.,Смотрим: Бразилия -> Бразилиа.,Столица Бразилия называется Бразилиа.
472,Столица Бразилия?,Быстрый факт: Бразилиа.,Бразилиа.
473,Какая столица Аргентина?,Факт: Буэнос-Айрес - столица Аргентина.,Столица Аргентина - Буэнос-Айрес.
474,Назови столицу Аргентина.,Смотрим: Аргентина -> Буэнос-Айрес.,Столица Аргентина называется Буэнос-Айрес.
475,Столица Аргентина?,Быстрый факт: Буэнос-Айрес.,Буэнос-Айрес.
476,Какая столица Япония?,Факт: Токио - столица Япония.,Столица Япония - Токио.
477,Назови столицу Япония.,Смотрим: Япония -> Токио.,Столица Япония называется Токио.
478,Столица Япония?,Быстрый факт: Токио.,Токио.
479,Какая столица Китай?,Факт: Пекин - столица Китай.,Столица Китай - Пекин.
480,Назови столицу Китай.,Смотрим: Китай -> Пекин.,Столица Китай называется Пекин.
481,Столица Китай?,Быстрый факт: Пекин.,Пекин.
482,Какая столица Индия?,Факт: Нью-Дели - столица Индия.,Столица Индия - Нью-Дели.
483,Назови столицу Индия.,Смотрим: Индия -> Нью-Дели.,Столица Индия называется Нью-Дели.
484,Столица Индия?,Быстрый факт: Нью-Дели.,Нью-Дели.
485,Какая столица Австралия?,Факт: Канберра - столица Австралия.,Столица Австралия - Канберра.
486,Назови столицу Австралия.,Смотрим: Австралия -> Канберра.,Столица Австралия называется Канберра.
487,Столица Австралия?,Быстрый факт: Канберра.,Канберра.
488,Какая столица Египет?,Факт: Каир - столица Египет.,Столица Египет - Каир.
489,Назови столицу Египет.,Смотрим: Египет -> Каир.,Столица Египет называется Каир.
490,Столица Египет?,Быстрый факт: Каир.,Каир.
491,Сколько земель в Германии?,Считаем: 16 земель.,В Германии 16 земель.
492,Расскажи кратко о немецкие земли.,Считаем: 16 земель.,В Германии 16 земель.
493,Сколько людей живёт в Германии примерно?,Оценка: 83-84 миллиона.,В Германии живёт около 83-84 миллионов человек.
494,Расскажи кратко о население Германии.,Оценка: 83-84 миллиона.,В Германии живёт около 83-84 миллионов человек.
495,На каком языке говорят в Бразилии?,"Факт: португальский, не испанский.",В Бразилии говорят на португальском.
496,Расскажи кратко о язык Бразилии.,"Факт: португальский, не испанский.",В Бразилии говорят на португальском.
497,Какая валюта Японии?,Факт: иена.,Валюта Японии - иена.
498,Расскажи кратко о валюта Японии.,Факт: иена.,Валюта Японии - иена.
499,Какая валюта США?,Факт: доллар США.,Валюта США - доллар США.
500,Расскажи кратко о валюта США.,Факт: доллар США.,Валюта США - доллар США.
